%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「スポイト？　何に使うの？　クリキャップ？」	「滴管？是用来做什么的？阴蒂夹？」
見慣れない代物に興味を示す%ANAME(対象)%。　見た目はただのスポイトだ、反応も穏やかだ	%ANAME(対象)%对不熟悉的东西充满兴趣。看起来只是个滴管，反应也很温和
「ちょっ、あっ……んんっ」	「等、啊……嗯，嗯」
%ANAME(MASTER)%は、%ANAME(対象)%の秘所を優しく愛撫する	%ANAME(MASTER)%温柔地爱抚%ANAME(対象)%的秘所
クリトリスが甘勃起したところに、%ANAME(MASTER)%はクリキャップを吸い付けた	在阴蒂舒服地勃起的时候，%ANAME(MASTER)%把阴蒂夹吸了上去
「んんっ……あっ……」	「嗯……啊……」
使い道を理解し始める%ANAME(対象)%のクリトリスを、クリキャップはさらに吸い出していく	开始理解了用途的%ANAME(対象)%的阴蒂，被阴蒂夹进一步吸出
「こっ……これは少し恥ずかしいですね……あっ」	「这里……这个有点害羞呢……啊」
引け腰気味の%ANAME(対象)%を、%ANAME(MASTER)%は抱き寄せてクリキャップを軽くデコピンした	%ANAME(MASTER)%把略微伸着腰的%ANAME(対象)%抱到怀里，轻轻地弹了一下阴蒂夹
「ん、んはぁ……！」	「嗯，嗯……！」
%ANAME(MASTER)%はクリキャップを弄繰り回しながら次は何をしようか考えていた	%ANAME(MASTER)%一边责弄着阴蒂夹一边思考着接下来要做什么
「ちょっ、あっ……んんっ！」	「等、啊……嗯！」
既に引け腰になっていた%ANAME(対象)%を無理矢理抱き寄せると、すかさず淫核にキャップを装着させた	强行抱住已经退缩的%ANAME(対象)%，立刻让淫核戴上了阴蒂夹
「あ……♥　そ、それ……♥」	「啊……♥那、那个……♥」
クリキャップを見せた途端、腰を震わせながら期待の表情を浮かべる%ANAME(対象)%	在看到阴蒂夹的瞬间，%ANAME(対象)%一边颤抖着腰一边浮现出期待的表情
そしていざ装着すると、まるで電気が走った様に身体を何度も跳ねさせた	一戴上，身体就像触电一样跳跃了好几次
「お”お”お”っ♥　あ”あ”好きぃ”♥♥　キモチ良すぎぃ♥♥♥」	「哦，哦♥啊"啊"好喜欢"♥♥感觉太舒服了♥♥♥」
%ANAME(対象)%の勃起したクリトリスに、吸い付かせたクリキャップをきゅぽきゅぽと弄くる	在%ANAME(対象)%勃起的阴蒂上，轻轻地责弄着吸附着的阴蒂夹
「んん…っ♥　あぁんっ…だ、だめ…っ♥　ちゅー♥ちゅー♥吸われちゃ……やぁ♥」	「嗯…嗯♥啊啊啊…不行，不行…嗯♥啾，啾♥啾，啾♥被吸了……呀♥」
クリトリスはぷっくりと勃起し、クリキャップに吸い込まれたり押し出されたりして抽送を繰り返す	勃起的阴蒂，被吸入挤出，反复抽送着
「あぁっ♥　や、やぁ…っ♥　せ、せつなくなっちゃうのぉ……♥」	「啊啊啊♥呀，呀…嗯♥变得好、好难受……♥」
想像以上の刺激に%ANAME(対象)%は、止め処なく愛液を噴出し身体を痙攣させている	%ANAME(対象)%对超出想象的刺激，身体痉挛着不断喷出爱液
「あ……ん、んぅ♥　あッ、やぁッ♥」	「啊……嗯，嗯♥啊、呀♥」
「ひゃふぅ♥　あっ、やだ、そんな、ちゅー♥ちゅー♥しちゃぁ……♥」	「呀啊，呼♥呜，讨厌，那种，啾♥啾，啾♥的……♥」
しばらくクリキャップを弄り楽しんでから、%ANAME(MASTER)%は手の動きを止める	用阴蒂夹开心地玩弄了一会儿后，%ANAME(MASTER)%就停下了手的动作
「あ、やめちゃ、ダメ……っ♥　まだ……まだ欲しいの♥♥」	「啊，不要停下……嗯♥还……还想要♥♥」
もっともっと、とせがむ%ANAME(対象)%	更多更多的、%ANAME(対象)%不断央求着
%ANAME(MASTER)%はそのままクリキャップをこねくり回し、吸い込み、吐き出しを繰り返した	%ANAME(MASTER)%就那样不停地扭动阴蒂夹，反复着吸入吐出
「んひゃぁッ！？　あッ♥　びりびりッ♥♥♥　びりびりって、あぁぁッ♥♥♥♥」	「哎呀！？哈啊♥哔哩哔哩♥♥♥哔哩哔哩的♥♥♥♥」
「ちょっ、%ANAME(MASTER)%…… そこ、弾いちゃ、ひゃぅ」	「等、%ANAME(MASTER)%……那里，要去了，呀啊啊」
「スポイト？　何に使うの？　ニプルキャップ？」	「滴管？　是用来做什么的？　乳头夹？」
%ANAME(MASTER)%は、%ANAME(対象)%の胸を優しく愛撫する	%ANAME(MASTER)%温柔地抚摸着%ANAME(対象)%的胸部
乳首が甘勃起したところに、%ANAME(MASTER)%はニプルキャップを吸い付けた	乳头舒服地勃起的时候，%ANAME(MASTER)%把乳头夹吸了上去
使い道を理解し始める%ANAME(対象)%の乳首を、ニプルキャップはさらに吸い出していく	开始理解了用途的%ANAME(対象)%的乳头，被乳头夹进一步吸出
引け腰気味の%ANAME(対象)%を、%ANAME(MASTER)%は抱き寄せてニプルキャップを軽くデコピンした	%ANAME(MASTER)%把略微伸着腰的%ANAME(対象)%抱到怀里，轻轻地弹了一下乳头夹
%ANAME(MASTER)%はニプルキャップを弄繰り回しながら次は何をしようか考えていた	%ANAME(MASTER)%一边责弄着乳头夹一边思考着接下来要做什么
既に引け腰になっていた%ANAME(対象)%を無理矢理抱き寄せると、すかさず乳首にキャップを装着させた	强行抱住已经退缩的%ANAME(対象)%，立刻让乳头戴上了乳头夹
ニプルキャップを見せた途端、腰を震わせながら期待の表情を浮かべる%ANAME(対象)%	在看到乳头夹的瞬间，%ANAME(対象)%一边颤抖着腰一边浮现出期待的表情
%ANAME(対象)%の勃起した乳首に、吸い付かせたニプルキャップをきゅぽきゅぽと弄くる	在%ANAME(対象)%勃起的乳头上，轻轻地责弄着吸附着的乳头夹
乳首はぷっくりと勃起し、ニプルキャップに吸い込まれたり押し出されたりして抽送を繰り返す	勃起的乳头，被吸入挤出，反复抽送着
しばらくニプルキャップを弄り楽しんでから、%ANAME(MASTER)%は手の動きを止める	用乳头夹开心地玩弄了一会儿后，%ANAME(MASTER)%就停下了手的动作
%ANAME(MASTER)%はそのままニプルキャップをこねくり回し、吸い込み、吐き出しを繰り返した	%ANAME(MASTER)%就那样不停地扭动乳头夹，反复着吸入吐出
「あの…これは流石にかなり抵抗があるのですが…」	「那个…这个果然还是感觉很抗拒啊…」
玩具と呼ぶには限界を感じさせる用途と見た目に%ANAME(対象)%は固唾を飲み緊張している	它的用途和外观让人觉得不能称之为玩具，%ANAME(対象)%紧张地咽着口水。
「……本当に…これを？」	「……真的…这个呢？」
少し顔が曇る%ANAME(対象)%	%ANAME(対象)%的表情有点阴沉
「ね…私、その最初は…貴方に捧げたいの…」	「啊…我，那个最初…是想献给你的…」
「私が好きなのは、こんな道具じゃなくて貴方なのですから…」	「我喜欢的不是这样的道具而是你…」
「えぇ…私の最初がこんな道具だなんて…」	「诶…我的最初竟然是这样的道具…」
「まって、まだ膨らませないでっ……きゃぅっ！」	「等一下，不要再膨胀了……啊！」
「んやぁっ！ 膣内が、膨らんで……あぁっ！」	「嗯呀！阴道内膨胀……啊啊！」
「だめっ、きちゃう……ぁあああっ！」	「不行，要来了……啊啊啊啊！」
「んっ、はぁっ、あんっ……」	「嗯，哈，嗯……」
「やっ……もう、%ANAME(対象)%の……欲しい……」	「哎呀……已经，%ANAME(対象)%的……想要……」
「んぁっ……！ はぁっ……はぁ……」	「嗯……！哈……哈……」
よほど感じていたのだろう、その場にくたりと倒れこんでしまった	大概是相当有感觉吧，一下子倒在了地上
少しこもった匂いを放つ%ANAME(対象)%の尻穴へとゆっくりバルーンを入れていく	慢慢地把气球放进放有一点味道的%ANAME(対象)%的尻穴里
異物感と少し倒錯感で困惑した様子であったが尻穴はバルーンをすんなり受け入れた	虽然因为异物感和些许的倒错感而感到困惑子，但屁股孔很容易地接受了气球
「ここから膨らむんですよね…」	「从这里开始膨胀吧…」
「えぇ…こんな道具だなんて…変態も良いところですね」	「诶…居然是这样的道具…是个变态这点也不错呢」
「んやぁっ！ お尻の中が、膨らんで……あぁっ！」	「嗯呀！屁股里鼓起来了……啊啊！」
「……え、これってもしかして」	「……诶，这个难道是」
「良いけど、優しくしてよね……？」	「虽然可以，但是要温柔点啊……？」
「……え、これをつけてろって……」	「……诶，让我戴上这个……」
「……流石にちょっと怖いわね」	「……果然有点恐怖呢」
「んやぁっ乳首、そんなに吸っちゃぁ、あぁ♥♥♥」	「啊啊啊，乳头，你那么吸啊♥♥♥」
「貴方の手つき、いやらしいわね……」	「你的手势，好下流啊……」
%ANAME(対象)%と%ANAME(MASTER)%はローションを水に溶かし混ぜている	%ANAME(対象)%和%ANAME(MASTER)%把乳液溶在水里混合在一起
「ほんと…ヌルヌルねぇ」	「真的…黏糊糊的啊」
「んっ……ヌルヌルする……」	「嗯……黏糊糊的……」
「別にこんなもの無くても、%ANAME(MASTER)%になら……」	「就算没有这样的东西，%ANAME(MASTER)%的话……」
「んっ……はぁっ……」	「嗯……哈……」
「ちょっと……待って……何、急に体が熱くなってきて……んッ♥」	「有点……等一下……什么，身体突然热起来了……嗯♥」
「別にこんなもの無くても……なっ、なんでも無いわ」	「即使没有这样的东西……没、没什么」
「ちょっと……待って……何、急に体が熱くなってきて……んッ」	「有点……等一下……什么，身体突然热起来了……嗯」
「あぁ……体が熱くなってきて……ダメ♥」	「啊……身体开始发热……不行♥」
「切なくなっちゃう……♥♥」	「变得好难受……♥♥」
「あぁ……体が熱くなってきて……」	「啊……身体开始发热……」
「(あっ、ダメ……この人絶対に私を孕ませるつもりだわ♥)」	「（啊，不行……这个人绝对会让我怀孕的♥)」
「(子宮が降りてきちゃう♥　この人のチンポ受け入れちゃう♥♥♥♥)」	「（子宫会降下来♥接受这个人的小鸡鸡♥♥♥♥)」
「(……この人、私を絶対に孕ませるつもりなのね)」	「(……这个人，一定要让我怀孕啊）」
「(あっ、ダメ……またこんなの飲んじゃったら……♥)」	「（啊，不行……又喝了这个的话……♥)」
「(子宮が降りてきちゃう♥　大好きな人のチンポ受け入れちゃう♥♥♥♥)」	「（子宫会降下来♥接受最喜欢的人的小鸡鸡♥♥♥♥)」
「(……この人絶対に私を孕ませるつもりなのね♥)」	「(……这个人绝对是打算让我怀孕♥)」
「(……飲んじゃった♥　ダメ♥　身体が勝手に子供を作る準備しちゃってる♥♥)」	「(……喝下去了♥不行♥身体在准备着随便生孩子♥♥)」
「(子宮が降りてきてるもの♥　大好きな人のチンポ受け入れちゃう準備しちゃってる♥♥)」	「（子宫要降下来了♥准备好接受最喜欢的人的小鸡鸡♥♥)」
アルコールで湿った脱脂綿で腕を拭く%ANAME(対象)%	%ANAME(対象)%用被酒精湿润的脱脂棉擦拭着手臂
一方で%ANAME(MASTER)%は注射針を火で炙り、空気が入っていないかチェックしている	另一方面，%ANAME(MASTER)%用火炙烤注射针，检查是否有空气进入
「…ねっ、ねぇ%ANAME(MASTER)%、やめない？」	「…呐，%ANAME(MASTER)%，不停下吗？」
小動物のように震えながら不安そうな声をあげる%ANAME(対象)%	%ANAME(対象)%像小动物一样一边颤抖一边发出不安的声音
%ANAME(対象)%の静止をよそに、%ANAME(MASTER)%は皮紐で%ANAME(対象)%の肩腕をキツく縛った	无视一动不动的%ANAME(対象)%，%ANAME(MASTER)%用皮绳紧紧地绑住了%ANAME(対象)%的肩腕
「はっー、はっー」	「哈啊，哈啊」
透明な液体が入った注射器から目が離せないでいる%ANAME(対象)%は落ち着かない様子である	%ANAME(対象)%一副无法平静的样子，眼睛无法从装有透明液体的注射器中移开
やがて脱脂綿で消毒された皮膚から太い血管が浮き出てくる	不久，用脱脂棉消毒过的皮肤上就会浮现出粗粗的血管
濡れた針先が張った血管へとゆっくり沈んでいく	浸湿的针尖慢慢地进入张开的血管里
「んっ…」	「嗯…」
シリンダー内に%ANAME(対象)%の赤黒い血が少し逆流している	汽缸里有一点%ANAME(対象)%的红黑色的血在逆流
血と混じったクスリが混ざった液体がゆっくり%ANAME(対象)%の血管の中へ入っていく	混杂着血和药的混合液体慢慢地进入了%ANAME(対象)%的血管中
